pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,828.9414795152912
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,853.6173274683138
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,862.0858411868196
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,862.0858411868196
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,855.2113407520394
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,842.884430645343
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,836.6311532671656
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,828.9414795152912
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,853.6173274683138
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,862.0858411868196
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,862.0858411868196
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,855.2113407520394
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,842.884430645343
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,836.6311532671656
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,828.9414795152912
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,853.6173274683138
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,862.0858411868196
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,862.0858411868196
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,855.2113407520394
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,842.884430645343
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,836.6311532671656
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,828.9414795152912
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,853.6173274683138
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,862.0858411868196
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,862.0858411868196
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,855.2113407520394
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,842.884430645343
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,836.6311532671656
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,828.9414795152912
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,853.6173274683138
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,862.0858411868196
